Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-10000,2023-06-24,2023-06-29,First Class,CUST-1250,Customer 1250,Consumer,United Kingdom,Birmingham,Scotland,23434,East,PROD-858,Furniture,Bookcases,Bookcases 381,320.33,2,0.57,-18.8
ORD-10001,2023-04-21,2023-04-27,First Class,CUST-1030,Customer 1030,Consumer,United Kingdom,Birmingham,England,76237,East,PROD-127,Technology,Accessories,Accessories 132,990.88,3,0.09,181.67
ORD-10002,2023-07-19,2023-07-23,Standard Class,CUST-1558,Customer 1558,Corporate,United Kingdom,Birmingham,Wales,87236,West,PROD-928,Technology,Machines,Machines 818,426.65,1,0.08,85.4
ORD-10003,2023-04-19,2023-04-20,Second Class,CUST-1348,Customer 1348,Corporate,United Kingdom,Birmingham,England,54118,East,PROD-194,Furniture,Bookcases,Bookcases 532,819.81,4,0.16,58.22
ORD-10004,2023-07-20,2023-07-26,First Class,CUST-1352,Customer 1352,Home Office,United Kingdom,Manchester,England,70217,South,PROD-227,Furniture,Tables,Tables 967,274.22,1,0.05,34.8
ORD-10005,2023-06-01,2023-06-07,Second Class,CUST-1849,Customer 1849,Home Office,United Kingdom,Bristol,Wales,85674,South,PROD-821,Furniture,Bookcases,Bookcases 400,522.96,3,0.04,61.77
ORD-10006,2023-03-20,2023-03-21,Standard Class,CUST-1791,Customer 1791,Corporate,United Kingdom,London,England,23238,East,PROD-384,Furniture,Bookcases,Bookcases 333,740.2,3,0.1,62.08
ORD-10007,2023-07-10,2023-07-14,First Class,CUST-1379,Customer 1379,Corporate,United Kingdom,Birmingham,Scotland,44993,South,PROD-799,Technology,Accessories,Accessories 266,1319.25,3,0.26,185.28
ORD-10008,2023-07-19,2023-07-20,Standard Class,CUST-1546,Customer 1546,Home Office,United Kingdom,Birmingham,England,70589,East,PROD-376,Technology,Machines,Machines 275,1756.89,4,0.18,295.56
ORD-10009,2023-05-11,2023-05-18,Standard Class,CUST-1786,Customer 1786,Consumer,United Kingdom,Birmingham,England,51347,West,PROD-374,Technology,Accessories,Accessories 963,1432.05,2,0.06,284.13
ORD-10010,2023-10-01,2023-10-03,Standard Class,CUST-1735,Customer 1735,Corporate,United Kingdom,Birmingham,Scotland,75435,East,PROD-758,Furniture,Bookcases,Bookcases 997,862.83,3,0.31,25.86
